Status,Bill,Created,Client Name,Quantity,Amount,Balance,Options
Closed,PUR028,16/10/2025,MICROARRAY LIMITED,1.00,3000,3000,Options Bill Lines Edit Print Void entries
Closed,PUR027,16/10/2025,BIOCARE 3 IN ONE AGENCIES,51.00,26200,26200,Options Bill Lines Edit Print Void entries
Closed,PUR026,15/10/2025,CHEMOQUIP LTD,2.00,3654,3654,Options Bill Lines Edit Print Void entries
Closed,PUR025,15/10/2025,LLOYD MASIKA LIMITED,1.00,89146,89146,Options Bill Lines Edit Print Void entries
Closed,PUR024,15/10/2025,NORTHERN MEDICAL LIMITED-IMPORTS,16.00,53261,53261,Options Bill Lines Edit Print Void entries
Closed,PUR023,14/10/2025,BIOCARE 3 IN ONE AGENCIES,5.00,4000,4000,Options Bill Lines Edit Print Void entries
Closed,PUR022,09/10/2025,MEMBERS CORPORATE BRANDS,201.00,4000,4000,Options Bill Lines Edit Print Void entries
Closed,PUR021,06/10/2025,COUNTY GOVERNMENT OF UASIN GISHU,1.00,14260,14260,Options Bill Lines Edit Print Void entries
Closed,PUR020,08/10/2025,SHADON MEDICAL DIAGNOSTIC LABORATORIES,5.00,5000,5000,Options Bill Lines Edit Print Void entries
Closed,PUR019,10/10/2025,SHADON MEDICAL DIAGNOSTIC LABORATORIES,1.00,3000,3000,Options Bill Lines Edit Print Void entries
Closed,PUR016,13/10/2025,BIOCARE 3 IN ONE AGENCIES,10.00,3500,3500,Options Bill Lines Edit Print Void entries
Closed,PUR014,09/10/2025,PAULA SOLUTIONS LTD,1.00,3150,3150,Options Bill Lines Edit Print Void entries
Closed,PUR012,08/10/2025,LITHI PURIFIED WATER,4.00,1200,1200,Options Bill Lines Edit Print Void entries
Closed,PUR011,06/10/2025,MICROARRAY LIMITED,3.00,11000,11000,Options Bill Lines Edit Print Void entries
Closed,PUR009,06/10/2025,MICROARRAY LIMITED,1.00,2500,2500,Options Bill Lines Edit Print Void entries
Closed,PUR008,08/10/2025,MICROARRAY LIMITED,24.00,43200,43200,Options Bill Lines Edit Print Void entries
Closed,PUR001,06/10/2025,MEDIPAL MEDICAL SUPPLIES LTD,140.00,98000,98000,Options Bill Lines Edit Print Void entries
Voided,PUR358,30/03/2026,MICROARRAY LIMITED,1.00,12931,12931,Options Bill Lines Edit Print
Voided,PUR229,28/01/2026,COMPLAST INDUSTRIES LIMITED,883.21,101628,101628,Options Bill Lines Edit Print
